epoch,step,phase,mae,rmse,mape,r2,accuracy,precision,recall,f1
1,1,train,0.7364924731171756,0.9645033853414182,11.706842031854533,0.9741539554632906,,,,
1,2,train,0.7463254932545046,0.8731422554076393,11.067258100469559,0.9777943355883111,,,,
1,3,train,0.6788350641150509,0.8204294225900218,11.93673351326175,0.9805234703686347,,,,
1,4,train,0.7908153397306755,1.0065547365835465,14.225456500773623,0.9706802877418951,,,,
1,0,val,0.7609440992793551,0.9456377862951703,13.55076160918481,0.9737615833970943,,,,
2,1,train,0.7112900972325584,0.8848202529260091,12.174732540160848,0.9774468431318103,,,,
2,2,train,0.756090709001449,0.9373767414581036,21.552327464160893,0.9756715152318334,,,,
2,3,train,0.7857764839939947,0.9493932321363944,13.67636304650332,0.9736708956163972,,,,
2,4,train,0.6999786534505732,0.878233896744209,12.064167033193367,0.9771776261106327,,,,
2,0,val,0.7733036828594714,0.9697169902952762,13.468055380323113,0.9722034562535338,,,,
3,1,train,0.7615768369374778,0.9432086821174369,20.553904288410862,0.9741856518959329,,,,
3,2,train,0.8744248345905938,1.0546698034741488,17.15013226714393,0.9679279799020513,,,,
3,3,train,0.6667470132624604,0.8569728526791628,10.359974724044319,0.9786430164332227,,,,
3,4,train,0.838291936236105,0.9825010948812353,13.328613345077972,0.9723729453106496,,,,
3,0,val,0.7207543430056573,0.9257801297663877,10.880691622522075,0.9743749833143824,,,,
4,1,train,0.7003704073847179,0.9430581003320808,13.722512563142875,0.974575010069099,,,,
4,2,train,0.7586672795135023,0.9454393205288474,15.915962964564612,0.974283701464267,,,,
4,3,train,0.7028677861581465,0.8676058427850192,16.266169443592723,0.9779937975986234,,,,
4,4,train,0.7387782323996495,0.8825938364443743,9.949199801246056,0.9765983923097331,,,,
4,0,val,0.7621060842089659,0.9372085942083734,12.971851183451989,0.9735862351886987,,,,
5,1,train,0.7284143492927607,0.9110727008836135,12.24476713319208,0.9760184041423402,,,,
5,2,train,0.6945155964793778,0.927112662576784,10.444069535504113,0.9753601161958302,,,,
5,3,train,0.7156399250906895,0.9178585905146056,11.322738820228377,0.9756735567338916,,,,
5,4,train,0.7829730296640072,0.9690414037794159,11.992075608865145,0.9731133569166368,,,,
5,0,val,0.7301250464493184,0.9352679967255313,11.651121079142792,0.9743396048558827,,,,
